,ticker,close_price_1_days_ago,close_price_2_days_ago,close_price_3_days_ago
0,KRW-BTC,36268000.0,36207000.0,33335000.0
1,KRW-ETH,2367000.0,2361000.0,2230000.0
2,KRW-NEO,16700.0,16650.0,14460.0
3,KRW-MTL,1685.0,1695.0,1640.0
4,KRW-XRP,502.0,501.0,485.0
5,KRW-ETC,26900.0,26760.0,24990.0
6,KRW-OMG,1980.0,1965.0,1830.0
7,KRW-SNT,36.8,36.8,34.8
8,KRW-WAVES,3165.0,3150.0,2975.0
9,KRW-XEM,53.6,52.7,50.3
10,KRW-QTUM,4085.0,4065.0,3755.0
11,KRW-LSK,1490.0,1505.0,1445.0
12,KRW-STEEM,295.0,287.0,273.0
13,KRW-XLM,116.0,116.0,113.0
14,KRW-ARDR,125.0,126.0,121.0
15,KRW-ARK,470.0,472.0,453.0
16,KRW-STORJ,499.0,498.0,465.0
17,KRW-GRS,601.0,603.0,596.0
18,KRW-REP,11870.0,11960.0,11400.0
19,KRW-ADA,462.0,461.0,434.0
20,KRW-SBD,4025.0,4030.0,3900.0
21,KRW-POWR,259.0,251.0,240.0
22,KRW-BTG,21750.0,21690.0,20560.0
23,KRW-ICX,291.0,291.0,275.0
24,KRW-EOS,1510.0,1515.0,1440.0
25,KRW-TRX,89.8,89.4,86.9
26,KRW-SC,5.76,5.79,5.34
27,KRW-ONT,343.0,345.0,282.0
28,KRW-ZIL,38.8,38.6,36.4
29,KRW-POLYX,238.0,228.0,219.0
30,KRW-ZRX,318.0,317.0,297.0
31,KRW-LOOM,99.2,99.9,97.8
32,KRW-BCH,178800.0,178600.0,167700.0
33,KRW-BAT,339.0,338.0,313.0
34,KRW-IOST,14.4,14.4,13.3
35,KRW-RFR,9.18,9.23,8.93
36,KRW-CVC,147.0,147.0,140.0
37,KRW-IQ,9.12,9.15,8.88
38,KRW-IOTA,304.0,304.0,283.0
39,KRW-HIFI,597.0,597.0,582.0
40,KRW-ONG,416.0,418.0,389.0
41,KRW-GAS,4945.0,4980.0,4760.0
42,KRW-UPP,100.0,101.0,97.1
43,KRW-ELF,425.0,429.0,422.0
44,KRW-KNC,1010.0,989.0,916.0
45,KRW-BSV,49070.0,49000.0,46960.0
46,KRW-THETA,1435.0,1440.0,1360.0
47,KRW-QKC,15.8,15.9,15.5
48,KRW-BTT,0.0009,0.001,0.0009
49,KRW-MOC,143.0,143.0,137.0
50,KRW-ENJ,565.0,556.0,521.0
51,KRW-TFUEL,77.2,77.4,74.9
52,KRW-MANA,854.0,850.0,764.0
53,KRW-ANKR,49.6,49.5,47.1
54,KRW-AERGO,178.0,178.0,174.0
55,KRW-ATOM,17380.0,17420.0,17100.0
56,KRW-TT,6.37,6.39,6.15
57,KRW-CRE,6.64,6.64,6.35
58,KRW-MBL,4.55,4.55,4.36
59,KRW-WAXP,94.7,94.8,90.7
60,KRW-HBAR,86.5,86.2,81.4
61,KRW-MED,23.5,23.6,22.6
62,KRW-MLK,369.0,369.0,354.0
63,KRW-STPT,68.2,68.7,66.7
64,KRW-ORBS,44.9,45.1,43.2
65,KRW-VET,32.1,32.0,29.8
66,KRW-CHZ,164.0,163.0,156.0
67,KRW-STMX,8.43,8.42,7.9
68,KRW-DKA,51.3,51.1,48.8
69,KRW-HIVE,567.0,570.0,547.0
70,KRW-KAVA,1740.0,1725.0,1690.0
71,KRW-AHT,13.1,13.2,12.7
72,KRW-LINK,9525.0,9510.0,8880.0
73,KRW-XTZ,1655.0,1655.0,1585.0
74,KRW-BORA,250.0,247.0,235.0
75,KRW-JST,36.8,36.7,35.3
76,KRW-CRO,97.1,97.3,93.3
77,KRW-TON,2525.0,2540.0,2470.0
78,KRW-SXP,384.0,383.0,356.0
79,KRW-HUNT,552.0,553.0,539.0
80,KRW-PLA,299.0,295.0,282.0
81,KRW-DOT,8765.0,8750.0,8120.0
82,KRW-SRM,598.0,590.0,562.0
83,KRW-MVL,5.6,5.6,5.38
84,KRW-STRAX,753.0,759.0,733.0
85,KRW-AQT,1790.0,1795.0,1730.0
86,KRW-GLM,341.0,344.0,337.0
87,KRW-SSX,26.7,26.8,25.7
88,KRW-META,43.9,44.0,42.1
89,KRW-FCT2,99.6,100.0,94.7
90,KRW-CBK,1000.0,1005.0,967.0
91,KRW-SAND,901.0,894.0,797.0
92,KRW-HUM,143.0,143.0,138.0
93,KRW-DOGE,101.0,100.0,96.6
94,KRW-STRK,18860.0,18940.0,18200.0
95,KRW-PUNDIX,639.0,640.0,614.0
96,KRW-FLOW,1420.0,1415.0,1325.0
97,KRW-DAWN,1005.0,1010.0,971.0
98,KRW-AXS,11890.0,11740.0,10690.0
99,KRW-STX,1575.0,1550.0,1215.0
100,KRW-XEC,0.0427,0.0425,0.0403
101,KRW-SOL,28720.0,28500.0,26220.0
102,KRW-MATIC,1620.0,1610.0,1530.0
103,KRW-NU,249.0,252.0,245.0
104,KRW-AAVE,106750.0,106250.0,99890.0
105,KRW-1INCH,699.0,700.0,659.0
106,KRW-ALGO,299.0,299.0,279.0
107,KRW-NEAR,2870.0,2855.0,2620.0
108,KRW-AVAX,23420.0,23300.0,21100.0
109,KRW-T,58.6,59.1,54.8
110,KRW-CELO,872.0,871.0,816.0
111,KRW-GMT,577.0,548.0,496.0
112,KRW-APT,17920.0,17850.0,16440.0
113,KRW-SHIB,0.0148,0.0147,0.014
114,KRW-MASK,7050.0,6865.0,5235.0
