,ticker,close_price_1_days_ago,close_price_2_days_ago,close_price_3_days_ago
0,KRW-BTC,35888000.0,35767000.0,36207000.0
1,KRW-ETH,2344000.0,2338000.0,2361000.0
2,KRW-NEO,15900.0,15740.0,16650.0
3,KRW-MTL,1625.0,1625.0,1695.0
4,KRW-XRP,499.0,497.0,501.0
5,KRW-ETC,27790.0,27630.0,26760.0
6,KRW-OMG,1935.0,1925.0,1965.0
7,KRW-SNT,35.9,35.9,36.8
8,KRW-WAVES,3090.0,3050.0,3150.0
9,KRW-XEM,53.4,54.1,52.7
10,KRW-QTUM,3955.0,3935.0,4065.0
11,KRW-LSK,1465.0,1460.0,1505.0
12,KRW-STEEM,286.0,285.0,287.0
13,KRW-XLM,114.0,113.0,116.0
14,KRW-ARDR,123.0,123.0,126.0
15,KRW-ARK,458.0,461.0,472.0
16,KRW-STORJ,489.0,487.0,498.0
17,KRW-GRS,575.0,577.0,603.0
18,KRW-REP,12230.0,11610.0,11960.0
19,KRW-ADA,450.0,449.0,461.0
20,KRW-SBD,3900.0,3900.0,4030.0
21,KRW-POWR,248.0,248.0,251.0
22,KRW-BTG,22510.0,22500.0,21690.0
23,KRW-ICX,287.0,285.0,291.0
24,KRW-EOS,1475.0,1465.0,1515.0
25,KRW-TRX,87.4,87.6,89.4
26,KRW-SC,5.57,5.56,5.79
27,KRW-ONT,324.0,320.0,345.0
28,KRW-ZIL,37.9,37.7,38.6
29,KRW-POLYX,229.0,229.0,228.0
30,KRW-ZRX,309.0,309.0,317.0
31,KRW-LOOM,94.7,95.1,99.9
32,KRW-BCH,175250.0,174100.0,178600.0
33,KRW-BAT,330.0,326.0,338.0
34,KRW-IOST,14.3,14.3,14.4
35,KRW-RFR,8.9,8.94,9.23
36,KRW-CVC,144.0,143.0,147.0
37,KRW-IQ,8.81,8.95,9.15
38,KRW-IOTA,292.0,290.0,304.0
39,KRW-HIFI,585.0,582.0,597.0
40,KRW-ONG,400.0,403.0,418.0
41,KRW-GAS,4795.0,4730.0,4980.0
42,KRW-UPP,97.8,98.1,101.0
43,KRW-ELF,412.0,414.0,429.0
44,KRW-KNC,969.0,964.0,989.0
45,KRW-BSV,48680.0,48690.0,49000.0
46,KRW-THETA,1385.0,1380.0,1440.0
47,KRW-QKC,15.2,15.2,15.9
48,KRW-BTT,0.0009,0.0009,0.001
49,KRW-MOC,141.0,141.0,143.0
50,KRW-ENJ,552.0,544.0,556.0
51,KRW-TFUEL,75.6,74.7,77.4
52,KRW-MANA,837.0,825.0,850.0
53,KRW-ANKR,48.0,47.8,49.5
54,KRW-AERGO,172.0,171.0,178.0
55,KRW-ATOM,16300.0,16320.0,17420.0
56,KRW-TT,6.27,6.24,6.39
57,KRW-CRE,6.91,7.21,6.64
58,KRW-MBL,4.49,4.51,4.55
59,KRW-WAXP,93.0,93.3,94.8
60,KRW-HBAR,83.3,83.1,86.2
61,KRW-MED,23.2,23.0,23.6
62,KRW-MLK,361.0,362.0,369.0
63,KRW-STPT,66.2,65.5,68.7
64,KRW-ORBS,43.4,43.5,45.1
65,KRW-VET,30.7,30.7,32.0
66,KRW-CHZ,158.0,158.0,163.0
67,KRW-STMX,8.11,8.11,8.42
68,KRW-DKA,50.0,50.1,51.1
69,KRW-HIVE,558.0,557.0,570.0
70,KRW-KAVA,1690.0,1695.0,1725.0
71,KRW-AHT,12.7,12.6,13.2
72,KRW-LINK,9250.0,9200.0,9510.0
73,KRW-XTZ,1585.0,1580.0,1655.0
74,KRW-BORA,248.0,248.0,247.0
75,KRW-JST,36.0,35.6,36.7
76,KRW-CRO,94.3,93.8,97.3
77,KRW-TON,2510.0,2510.0,2540.0
78,KRW-SXP,379.0,377.0,383.0
79,KRW-HUNT,534.0,535.0,553.0
80,KRW-PLA,307.0,305.0,295.0
81,KRW-DOT,8430.0,8390.0,8750.0
82,KRW-SRM,591.0,598.0,590.0
83,KRW-MVL,5.49,5.47,5.6
84,KRW-STRAX,732.0,733.0,759.0
85,KRW-AQT,1720.0,1730.0,1795.0
86,KRW-GLM,331.0,333.0,344.0
87,KRW-SSX,26.2,26.0,26.8
88,KRW-META,42.8,42.7,44.0
89,KRW-FCT2,99.2,97.1,100.0
90,KRW-CBK,983.0,983.0,1005.0
91,KRW-SAND,896.0,888.0,894.0
92,KRW-HUM,139.0,138.0,143.0
93,KRW-DOGE,97.7,97.1,100.0
94,KRW-STRK,18820.0,18650.0,18940.0
95,KRW-PUNDIX,624.0,624.0,640.0
96,KRW-FLOW,1390.0,1385.0,1415.0
97,KRW-DAWN,992.0,993.0,1010.0
98,KRW-AXS,11740.0,11590.0,11740.0
99,KRW-STX,1570.0,1520.0,1550.0
100,KRW-XEC,0.0418,0.0414,0.0425
101,KRW-SOL,28410.0,28200.0,28500.0
102,KRW-MATIC,1570.0,1560.0,1610.0
103,KRW-NU,244.0,248.0,252.0
104,KRW-AAVE,103550.0,103450.0,106250.0
105,KRW-1INCH,695.0,690.0,700.0
106,KRW-ALGO,286.0,285.0,299.0
107,KRW-NEAR,2785.0,2765.0,2855.0
108,KRW-AVAX,22680.0,22590.0,23300.0
109,KRW-T,56.5,56.4,59.1
110,KRW-CELO,850.0,843.0,871.0
111,KRW-GMT,619.0,605.0,548.0
112,KRW-APT,17150.0,17030.0,17850.0
113,KRW-SHIB,0.0144,0.0143,0.0147
114,KRW-MASK,8140.0,7945.0,6865.0
