종목,한글명,현재가,전일대비
KRW-BTC,비트코인,29755000.0,0.0015483524
KRW-ETH,이더리움,2091000.0,0.0033589251
KRW-NEO,네오,16110.0,0.0373470702
KRW-MTL,메탈,1625.0,0.0093167702
KRW-XRP,리플,499.0,-0.003992016
KRW-ETC,이더리움클래식,26920.0,-0.0059084195
KRW-OMG,오미세고,2100.0,0.0120481928
KRW-SNT,스테이터스네트워크토큰,36.0,0.0055865922
KRW-WAVES,웨이브,3390.0,0.0164917541
KRW-XEM,넴,56.7,-0.0139130435
KRW-QTUM,퀀텀,4080.0,0.0049261084
KRW-LSK,리스크,1435.0,0.0
KRW-STEEM,스팀,285.0,0.0
KRW-XLM,스텔라루멘,113.0,-0.0087719298
KRW-ARDR,아더,127.0,-0.0078125
KRW-ARK,아크,471.0,0.0042643923
KRW-STORJ,스토리지,521.0,0.0038535645
KRW-GRS,그로스톨코인,560.0,-0.0070921986
KRW-REP,어거,11720.0,0.0606334842
KRW-ADA,에이다,454.0,-0.0043859649
KRW-SBD,스팀달러,3720.0,0.0094979647
KRW-POWR,파워렛저,255.0,0.0039370079
KRW-BTG,비트코인골드,21760.0,0.0041532072
KRW-ICX,아이콘,304.0,-0.0065359477
KRW-EOS,이오스,1735.0,-0.0113960114
KRW-TRX,트론,89.4,0.0022421525
KRW-SC,시아코인,5.65,0.0803059273
KRW-ONT,온톨로지,308.0,0.0131578947
KRW-ZIL,질리카,37.7,-0.0052770449
KRW-POLYX,폴리매쉬,239.0,0.0042016807
KRW-ZRX,제로엑스,332.0,-0.0089552239
KRW-LOOM,룸네트워크,73.7,0.0236111111
KRW-BCH,비트코인캐시,168100.0,0.0002975305
KRW-BAT,베이직어텐션토큰,360.0,0.0084033613
KRW-IOST,아이오에스티,14.7,-0.0067567568
KRW-RFR,리퍼리움,8.5,0.0047281324
KRW-CVC,시빅,157.0,0.0064102564
KRW-IQ,아이큐,8.57,0.0023391813
KRW-IOTA,아이오타,297.0,0.0033783784
KRW-HIFI,하이파이,615.0,0.0098522167
KRW-ONG,온톨로지가스,402.0,0.0229007634
KRW-GAS,가스,4625.0,0.1198547215
KRW-UPP,센티넬프로토콜,91.9,-0.0107642626
KRW-ELF,엘프,383.0,-0.0077720207
KRW-KNC,카이버네트워크,1010.0,-0.0049261084
KRW-BSV,비트코인에스브이,51940.0,-0.0001924928
KRW-THETA,쎄타토큰,1410.0,0.0035587189
KRW-QKC,쿼크체인,14.3,0.0141843972
KRW-BTT,비트토렌트,0.001,0.0
KRW-MOC,모스코인,139.0,-0.0347222222
KRW-ENJ,엔진코인,581.0,0.0034542314
KRW-TFUEL,쎄타퓨엘,71.4,0.0
KRW-MANA,디센트럴랜드,800.0,0.0
KRW-ANKR,앵커,47.4,0.0021141649
KRW-AERGO,아르고,170.0,0.0059171598
KRW-ATOM,코스모스,15990.0,0.0018796992
KRW-TT,썬더코어,6.18,0.0032467532
KRW-CRE,캐리프로토콜,6.25,0.0080645161
KRW-MBL,무비블록,4.74,0.0106609808
KRW-WAXP,왁스,100.0,-0.0099009901
KRW-HBAR,헤데라,87.0,0.0235294118
KRW-MED,메디블록,25.6,0.0118577075
KRW-MLK,밀크,377.0,-0.0052770449
KRW-STPT,에스티피,61.5,0.0016286645
KRW-ORBS,오브스,43.2,0.006993007
KRW-VET,비체인,33.9,0.0059347181
KRW-CHZ,칠리즈,168.0,-0.0059171598
KRW-STMX,스톰엑스,8.31,0.0084951456
KRW-DKA,디카르고,50.8,0.0059405941
KRW-HIVE,하이브,557.0,0.0
KRW-KAVA,카바,1750.0,-0.011299435
KRW-AHT,아하토큰,11.7,0.0
KRW-LINK,체인링크,9210.0,-0.0043243243
KRW-XTZ,테조스,1525.0,0.0
KRW-BORA,보라,259.0,0.01171875
KRW-JST,저스트,36.9,0.0109589041
KRW-CRO,크로노스,97.6,0.0051493306
KRW-TON,톤,2340.0,0.0196078431
KRW-SXP,솔라,392.0,0.0051282051
KRW-HUNT,헌트,531.0,-0.0397830018
KRW-PLA,플레이댑,310.0,-0.0032154341
KRW-DOT,폴카닷,7965.0,-0.0093283582
KRW-SRM,세럼,606.0,-0.0257234727
KRW-MVL,엠블,5.7,0.0035211268
KRW-STRAX,스트라티스,731.0,0.0041208791
KRW-AQT,알파쿼크,1695.0,-0.023054755
KRW-GLM,골렘,334.0,0.0090634441
KRW-SSX,썸씽,26.1,0.0077220077
KRW-META,메타디움,41.9,-0.0047505938
KRW-FCT2,피르마체인,86.6,-0.003452244
KRW-CBK,코박토큰,997.0,-0.002002002
KRW-SAND,샌드박스,856.0,0.0046948357
KRW-HUM,휴먼스케이프,143.0,-0.0069444444
KRW-DOGE,도지코인,103.0,0.0098039216
KRW-STRK,스트라이크,18950.0,0.0058386412
KRW-PUNDIX,펀디엑스,639.0,0.0207667732
KRW-FLOW,플로우,1430.0,-0.0034843206
KRW-DAWN,던프로토콜,1010.0,-0.0049261084
KRW-AXS,엑시인피니티,12200.0,0.0049423394
KRW-STX,스택스,1105.0,-0.0221238938
KRW-XEC,이캐시,0.0426,0.009478673
KRW-SOL,솔라나,28420.0,0.0
KRW-MATIC,폴리곤,1550.0,0.0
KRW-NU,누사이퍼,306.0,-0.0223642173
KRW-AAVE,에이브,102300.0,0.0029411765
KRW-1INCH,1인치네트워크,704.0,0.0014224751
KRW-ALGO,알고랜드,310.0,0.003236246
KRW-NEAR,니어프로토콜,2790.0,-0.0017889088
KRW-AVAX,아발란체,22260.0,0.0045126354
KRW-T,쓰레스홀드,55.5,-0.0280210158
KRW-CELO,셀로,922.0,-0.0021645022
KRW-GMT,스테픈,523.0,-0.009469697
KRW-APT,앱토스,15510.0,-0.0064061499
