,ticker,close_price_1_days_ago,close_price_2_days_ago,close_price_3_days_ago
0,KRW-BTC,32444000.0,32490000.0,31676000.0
1,KRW-ETH,2222000.0,2235000.0,2200000.0
2,KRW-NEO,14790.0,15160.0,14540.0
3,KRW-MTL,1535.0,1565.0,1485.0
4,KRW-XRP,487.0,490.0,490.0
5,KRW-ETC,26290.0,26590.0,25780.0
6,KRW-OMG,1970.0,1980.0,1880.0
7,KRW-SNT,36.2,35.4,34.3
8,KRW-WAVES,3085.0,3160.0,3030.0
9,KRW-XEM,52.1,52.2,50.3
10,KRW-QTUM,3860.0,3875.0,3755.0
11,KRW-LSK,1405.0,1420.0,1365.0
12,KRW-STEEM,272.0,276.0,265.0
13,KRW-XLM,113.0,117.0,111.0
14,KRW-ARDR,122.0,123.0,119.0
15,KRW-ARK,452.0,451.0,435.0
16,KRW-STORJ,480.0,486.0,468.0
17,KRW-GRS,609.0,571.0,545.0
18,KRW-REP,11420.0,11430.0,10990.0
19,KRW-ADA,445.0,453.0,452.0
20,KRW-SBD,3770.0,3815.0,3650.0
21,KRW-POWR,240.0,244.0,237.0
22,KRW-BTG,20610.0,21010.0,20420.0
23,KRW-ICX,287.0,287.0,277.0
24,KRW-EOS,1450.0,1460.0,1420.0
25,KRW-TRX,87.6,88.3,88.2
26,KRW-SC,5.68,5.42,5.2
27,KRW-ONT,289.0,292.0,284.0
28,KRW-ZIL,37.5,37.2,34.4
29,KRW-POLYX,220.0,223.0,211.0
30,KRW-ZRX,305.0,309.0,296.0
31,KRW-LOOM,97.7,107.0,121.0
32,KRW-BCH,171850.0,172350.0,166550.0
33,KRW-BAT,323.0,328.0,314.0
34,KRW-IOST,13.9,14.0,13.6
35,KRW-RFR,9.13,8.79,8.56
36,KRW-CVC,141.0,143.0,140.0
37,KRW-IQ,9.7,8.52,8.26
38,KRW-IOTA,286.0,288.0,282.0
39,KRW-HIFI,590.0,581.0,558.0
40,KRW-ONG,383.0,385.0,375.0
41,KRW-GAS,4255.0,4315.0,4150.0
42,KRW-UPP,96.9,102.0,95.3
43,KRW-ELF,443.0,463.0,456.0
44,KRW-KNC,951.0,971.0,929.0
45,KRW-BSV,47670.0,48330.0,47320.0
46,KRW-THETA,1405.0,1405.0,1345.0
47,KRW-QKC,14.4,14.4,13.6
48,KRW-BTT,0.0009,0.0008,0.0009
49,KRW-MOC,138.0,141.0,136.0
50,KRW-ENJ,557.0,563.0,534.0
51,KRW-TFUEL,75.0,76.3,70.9
52,KRW-MANA,787.0,804.0,784.0
53,KRW-ANKR,46.6,47.7,45.0
54,KRW-AERGO,165.0,166.0,159.0
55,KRW-ATOM,16800.0,17180.0,15780.0
56,KRW-TT,6.19,6.19,6.04
57,KRW-CRE,6.49,6.45,6.25
58,KRW-MBL,4.54,4.46,4.35
59,KRW-WAXP,93.0,94.8,91.3
60,KRW-HBAR,86.1,87.0,85.0
61,KRW-MED,23.2,23.4,22.8
62,KRW-MLK,359.0,364.0,353.0
63,KRW-STPT,65.0,66.1,61.1
64,KRW-ORBS,44.1,43.9,41.5
65,KRW-VET,31.1,31.6,30.7
66,KRW-CHZ,159.0,160.0,156.0
67,KRW-STMX,8.18,8.14,7.89
68,KRW-DKA,49.8,50.5,47.8
69,KRW-HIVE,535.0,541.0,517.0
70,KRW-KAVA,1725.0,1710.0,1650.0
71,KRW-AHT,12.8,12.5,12.1
72,KRW-LINK,9055.0,9165.0,8890.0
73,KRW-XTZ,1585.0,1575.0,1430.0
74,KRW-BORA,241.0,245.0,237.0
75,KRW-JST,35.4,35.5,34.6
76,KRW-CRO,94.8,95.9,93.8
77,KRW-TON,2415.0,2440.0,2350.0
78,KRW-SXP,369.0,371.0,354.0
79,KRW-HUNT,520.0,532.0,499.0
80,KRW-PLA,287.0,292.0,282.0
81,KRW-DOT,8200.0,8195.0,8020.0
82,KRW-SRM,568.0,580.0,529.0
83,KRW-MVL,5.58,5.55,5.42
84,KRW-STRAX,707.0,715.0,688.0
85,KRW-AQT,1710.0,1755.0,1630.0
86,KRW-GLM,320.0,321.0,310.0
87,KRW-SSX,25.8,25.9,25.2
88,KRW-META,42.9,43.7,42.1
89,KRW-FCT2,94.6,101.0,91.3
90,KRW-CBK,949.0,958.0,922.0
91,KRW-SAND,831.0,848.0,812.0
92,KRW-HUM,139.0,141.0,138.0
93,KRW-DOGE,97.1,98.1,95.7
94,KRW-STRK,18070.0,18000.0,17590.0
95,KRW-PUNDIX,617.0,623.0,597.0
96,KRW-FLOW,1360.0,1365.0,1295.0
97,KRW-DAWN,982.0,986.0,954.0
98,KRW-AXS,11110.0,11350.0,10930.0
99,KRW-STX,1325.0,1270.0,1050.0
100,KRW-XEC,0.0412,0.0416,0.0403
101,KRW-SOL,27150.0,27470.0,26880.0
102,KRW-MATIC,1570.0,1575.0,1570.0
103,KRW-NU,245.0,257.0,250.0
104,KRW-AAVE,102950.0,104100.0,100000.0
105,KRW-1INCH,685.0,691.0,659.0
106,KRW-ALGO,287.0,292.0,279.0
107,KRW-NEAR,2735.0,2785.0,2680.0
108,KRW-AVAX,22280.0,22540.0,21700.0
109,KRW-T,56.1,57.1,48.2
110,KRW-CELO,832.0,844.0,803.0
111,KRW-GMT,527.0,539.0,477.0
112,KRW-APT,17630.0,17850.0,16200.0
113,KRW-SHIB,0.0146,0.0148,0.0145
114,KRW-MASK,5090.0,4580.0,4280.0
